# Vat.gr.1291, f.7r — Ptolemy, Handy Tables: NEW TABLE TYPE (likely parallax or related)
# Header: ΠΑΡΑΛΛΑΞΕΙΣ ΤΟΥ ΔΙΑ ΒΥΖΑΝΤΙΟΥ ΠΑΡΑΛΛΗΛΟΥ
# 
# STRUCTURE: 6 small sub-tables per page (3 wide × 2 tall), one per zodiac sign
# Each sub-table is headed by zodiac sign + parameter "ὧ X̄ Y̅" (hour value)
# Columns: ω̅ (hour) | M̅ μηκ (μῆκος, length?) | ἡ̄ | πέρ (πέρας?)
# 12 rows per sub-table (one per hour of the day, α-ιβ)
#
# Visible on this folio:
#   TOP ROW: ΚΑΡΚΗΝΟΥ ὧ ζ νζ  |  ΛΕΟΝΤΟΣ ὧ ζ κβ  |  ΠΑΡΘΕΝΟΥ (partial, image 4)
#   BOTTOM ROW: ΖΥΓΟΥ ὧ ϛ  |  ΣΚΟΡΠΙΟΥ ὧ ε ιβ  |  ΤΟΞΟΤΟΥ ὧ δ κη
#
# CRITICAL DISCLAIMER:
# I am NOT certain what astronomical quantity this table computes.
# The header word "παράλλαξις" suggests parallax, but the layout differs from 
# standard parallax tables (which typically use double-entry with anomaly arguments).
# This could be:
#   (a) Parallax components by sign + hour
#   (b) Hourly differences for seasonal-hour conversion  
#   (c) Related to lunar latitude/equation computations
# 
# Without comparison to Tihon's critical edition I'm transcribing values but flagging
# semantic interpretation as TENTATIVE.
#
# Many cells contain uncertain readings - this page has fainter ink and smaller cells
# than f.5r-6v.

table_sign	param	hour_arg	col_M	col_h	col_per	notes
Scorpio	ω=5;12	ιβ	ϛ	μϛ	ξϛ	hour 12

# === ΤΟΞΟΤΟΥ ὧ δ κη ===
Sagittarius	ω=4;28	α	μβ	[?]	ō	hour 1 - second col illegible
Sagittarius	ω=4;28	β	μ	[?]	ρπα	hour 2
Sagittarius	ω=4;28	γ	λε	λε	ρμα	hour 3
Sagittarius	ω=4;28	δ	κη	κθ	ρμ[?]	hour 4
Sagittarius	ω=4;28	ε	ιη[?]	ιθ	ρμϛ	hour 5
Sagittarius	ω=4;28	ϛ	α	ιδ	νδ	hour 6
Sagittarius	ω=4;28	ζ	ι	λ	νδ	hour 7
Sagittarius	ω=4;28	η	ιϛ	μϛ	λα	hour 8
Sagittarius	ω=4;28	θ	ιζ	μζ	λα	hour 9
Sagittarius	ω=4;28	ι	ιζ	νϛ	λκ[?]	hour 10
Sagittarius	ω=4;28	ια	κγ	νθ	κβ	hour 11
Sagittarius	ω=4;28	ιβ	κγ[?]	[?]	νϛ	hour 12

# === ML TRAINING NOTES ===
# This page is structurally DIFFERENT from the ascension tables:
#
# 1. SIX small sub-tables per folio instead of THREE large ones
# 2. Each sub-table has its OWN header parameter (the "ὧ X Y" value)
# 3. Values are DISCRETE (not cumulative) — no monotonicity to validate against
# 4. The header pattern "ὧ ζ νζ" decreases through the zodiac:
#    Cancer 7;57 → Leo 7;22 → ... → Libra 6 → Scorpio 5;12 → Sagittarius 4;28
#    This decreasing pattern suggests a SEASONAL parameter (perhaps day-length deficit
#    from 6 equinoctial hours, related to solar declination)
#
# Treat this as a SEPARATE PAGE CLASS for ML:
#   - Multi-table layout detection (sub-table grid)
#   - Per-sub-table header parsing (sign name + sexagesimal parameter)
#   - Non-monotonic value validation (cross-reference between adjacent hours)
#
# Validation hints:
#   - col_M values often peak around hour 4-5, suggesting solar/lunar maximum at noon-adjacent hours
#   - col_per often has a near-discontinuity around hour 6-7 (parallax zero-crossing?)
#   - Last hour (ιβ) often resembles first hour with adjustment
