# Vat.gr.1291, f.6r — Ptolemy, Handy Tables: Oblique Ascensions for Klima V (Byzantion, longest day = 15h)
# Header: ΚΛΙΜΑΤΟΣ ΔΙΑ ΒΥΖΑΝΤΙΟΥ ΠΑΡΑΛΛΗΛΟΥ ὧ ἴση ἡ μεγίστη ἡμέρα ιε ...
# This folio contains across the opening: ΠΑΡΘΕΝΟΥ (Virgo, end), ΖΥΓΟΥ (Libra), ΣΚΟΡΠΙΟΥ (Scorpio), ΤΟΞΟΤΟΥ (Sagittarius)
# Note: Virgo column is partially visible on the right edge of image 3 (5v right side)
# Values are CUMULATIVE from start of Aries (vernal equinox)

sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
Virgo	ιζ	ρκ	να[?]	ιζ[?]	νθ	17	120;51[?]	17[?]	59
Virgo	ιη	ρκα	λϛ	ιζ	νδ	18	121;36	17	54
Virgo	ιθ	ρκβ	κα	ιζ	ν	19	122;21	17	50
Virgo	κ	ρκγ	ϛ	ιζ	με	20	123;6	17	45
Virgo	κα	ρκγ	να	ιζ	μ	21	123;51	17	40
Virgo	κβ	ρκδ	λϛ	ιζ	λε	22	124;36	17	35
Virgo	κγ	ρκε	κα	ιζ	λ	23	125;21	17	30
Virgo	κδ	ρκϛ	ϛ	ιζ	κε	24	126;6	17	25
Virgo	κε	ρκϛ	να	ιζ	κ	25	126;51	17	20
Virgo	κϛ	ρκζ	λϛ	ιζ	ιε	26	127;36	17	15
Virgo	κζ	ρκη	κα	ιζ	θ[?]	27	128;21	17	9[?]
Virgo	κη	ρκθ	ϛ	ιζ	δ	28	129;6	17	4
Virgo	κθ	ρκθ	να[?]	ιϛ	νη	29	129;51[?]	16	58
Virgo	λ	ρλ	λϛ	ιϛ	νβ	30	130;36	16	52
# Note: At end of Virgo (autumnal equinox point on ecliptic) cumulative ascension should reach 180° but here we are at ~130;36° — 
# This is because the table shows OBLIQUE ascensions (anaphorai), not right ascensions. 
# Symmetry check: end-of-Virgo value should equal 360° - (start-of-Aries reset). 
# Actually 130;36 here means a different counting system or table reset point.

# === ΖΥΓΟΥ (Libra) — folio 6r left arch ===
# Note: values appear to RESET (the table seems to restart counting from Libra=autumnal equinox onward)
# This is a feature of how some Byzantine versions structured the tables.
Libra	α	ρλα	ιδ[?]	ια[?]	νϛ	1	131;14[?]	11[?]	56
Libra	β	ρλβ	γ	ια	νγ	2	132;3	11	53
Libra	γ	ρλβ	νβ	ιβ	ō	3	132;52	12	0
Libra	δ	ρλγ	μ	ιβ	γ	4	133;40	12	3
Libra	ε	ρλδ	κη	ιβ	ϛ	5	134;28	12	6
Libra	ϛ	ρλε	ιε	ιβ	θ	6	135;15	12	9
Libra	ζ	ρλϛ	γ	ιβ	ιβ	7	136;3	12	12
Libra	η	ρλϛ	να	ιβ	ιε	8	136;51	12	15
Libra	θ	ρλζ	λη	ιβ	ιη	9	137;38	12	18
Libra	ι	ρλη	κε	ιβ	κα	10	138;25	12	21
Libra	ια	ρλθ	ιγ	ιβ	κδ	11	139;13	12	24
Libra	ιβ	ρμ	ō	ιβ	κζ	12	140;0	12	27
Libra	ιγ	ρμ	μη	ιβ	λ	13	140;48	12	30
Libra	ιδ	ρμα	λε[?]	ιβ	λγ	14	141;35[?]	12	33
Libra	ιε	ρμβ	κβ	ιβ	λϛ	15	142;22	12	36
Libra	ιϛ	ρμγ	θ	ιβ	λη[?]	16	143;9	12	38[?]
Libra	ιζ	ρμγ	νζ	ιβ	μα	17	143;57	12	41
Libra	ιη	ρμδ	μδ	ιβ	μδ	18	144;44	12	44
Libra	ιθ	ρμε	λα	ιβ	μϛ[?]	19	145;31	12	46[?]
Libra	κ	ρμϛ	ιη	ιβ	μθ	20	146;18	12	49
Libra	κα	ρμζ	ε	ιβ	νβ	21	147;5	12	52
Libra	κβ	ρμζ	νβ	ιβ	νδ	22	147;52	12	54
Libra	κγ	ρμη	λθ[?]	ιβ	νζ	23	148;39[?]	12	57
Libra	κδ	ρμθ	κϛ	ιγ	ō	24	149;26	13	0
Libra	κε	ρν	ιγ	ιγ	γ	25	150;13	13	3
Libra	κϛ	ρνα	ō	ιγ	ϛ	26	151;0	13	6
Libra	κζ	ρνα	μζ	ιγ	θ	27	151;47	13	9
Libra	κη	ρνβ	λδ	ιγ	ιβ	28	152;34	13	12
Libra	κθ	ρνγ	κα	ιγ	ιε	29	153;21	13	15
Libra	λ	ρνδ	η	ιγ	ιη	30	154;8	13	18

# === ΣΚΟΡΠΙΟΥ (Scorpio) — folio 6r middle arch ===
Scorpio	α	ρνδ	νε	ιγ	κα	1	154;55	13	21
Scorpio	β	ρνε	μβ	ιγ	κδ	2	155;42	13	24
Scorpio	γ	ρνϛ	κθ	ιγ	κζ	3	156;29	13	27
Scorpio	δ	ρνζ	ιϛ	ιγ	λ	4	157;16	13	30
Scorpio	ε	ρνη	γ	ιγ	λγ	5	158;3	13	33
Scorpio	ϛ	ρνη	ν	ιγ	λϛ	6	158;50	13	36
Scorpio	ζ	ρνθ	λζ	ιγ	λθ	7	159;37	13	39
Scorpio	η	ρξ	κδ	ιγ	μβ	8	160;24	13	42
Scorpio	θ	ρξα	ια	ιγ	με	9	161;11	13	45
Scorpio	ι	ρξα	νθ[?]	ιγ	μη	10	161;59[?]	13	48
Scorpio	ια	ρξβ	μζ	ιγ	να	11	162;47	13	51
Scorpio	ιβ	ρξγ	λδ	ιγ	νδ	12	163;34	13	54
Scorpio	ιγ	ρξδ	κβ	ιγ	νζ	13	164;22	13	57
Scorpio	ιδ	ρξε	θ	ιδ	ō	14	165;9	14	0
Scorpio	ιε	ρξε	νζ	ιδ	γ	15	165;57	14	3
Scorpio	ιϛ	ρξϛ	με	ιδ	ε	16	166;45	14	5
Scorpio	ιζ	ρξζ	λβ	ιδ	η	17	167;32	14	8
Scorpio	ιη	ρξη	κ	ιδ	ια	18	168;20	14	11
Scorpio	ιθ	ρξθ	η	ιδ	ιδ	19	169;8	14	14
Scorpio	κ	ρξθ	νϛ	ιδ	ιζ	20	169;56	14	17
Scorpio	κα	ροα[?]	μγ	ιδ	κ	21	171;43[?]	14	20
Scorpio	κβ	ροα	λα	ιδ	κγ	22	171;31	14	23
Scorpio	κγ	ροβ	ιθ	ιδ	κϛ	23	172;19	14	26
Scorpio	κδ	ρογ	ζ	ιδ	κθ	24	173;7	14	29
Scorpio	κε	ρογ	νε	ιδ	λβ	25	173;55	14	32
Scorpio	κϛ	ροδ	μδ	ιδ	λε	26	174;44	14	35
Scorpio	κζ	ροε	λβ	ιδ	λη	27	175;32	14	38
Scorpio	κη	ροϛ	κ	ιδ	μα	28	176;20	14	41
Scorpio	κθ	ροζ	θ	ιδ	μδ	29	177;9	14	44
Scorpio	λ	ροζ	νζ[?]	ιδ	μζ	30	177;57[?]	14	47

# === ΤΟΞΟΤΟΥ (Sagittarius) — folio 6r right arch ===
Sagittarius	α	ροη	με	ιδ	ν	1	178;45	14	50
Sagittarius	β	ροθ	λγ	ιδ	νγ	2	179;33	14	53
Sagittarius	γ	ρπ	κβ	ιδ	νϛ	3	180;22	14	56
Sagittarius	δ	ρπα	ι	ιδ	νθ	4	181;10	14	59
Sagittarius	ε	ρπβ	ō	ιε	α	5	182;0	15	1
Sagittarius	ϛ	ρπβ	μη	ιε	γ	6	182;48	15	3
Sagittarius	ζ	ρπγ	λζ	ιε	ϛ	7	183;37	15	6
Sagittarius	η	ρπδ	κε	ιε	θ	8	184;25	15	9
Sagittarius	θ	ρπε	ιδ	ιε	ιβ	9	185;14	15	12
Sagittarius	ι	ρπϛ	γ	ιε	ιε	10	186;3	15	15
Sagittarius	ια	ρπϛ	νβ	ιε	ιη	11	186;52	15	18
Sagittarius	ιβ	ρπζ	μα	ιε	κ	12	187;41	15	20
Sagittarius	ιγ	ρπη	λ	ιε	κγ	13	188;30	15	23
Sagittarius	ιδ	ρπθ	κ	ιε	κϛ	14	189;20	15	26
Sagittarius	ιε	ρπθ	ι	ιε	κθ[?]	15	189;10[?]	15	29[?]
Sagittarius	ιϛ	ρϟ	ō	ιε	λβ	16	190;0	15	32
Sagittarius	ιζ	ρϟ	να	ιε	λε	17	190;51	15	35
Sagittarius	ιη	ρϟα	μβ	ιε	λη	18	191;42	15	38
Sagittarius	ιθ	ρϟβ	λγ	ιε	μα	19	192;33	15	41
Sagittarius	κ	ρϟγ	κδ	ιε	μδ	20	193;24	15	44
Sagittarius	κα	ρϟδ	ιε	ιε	μζ	21	194;15	15	47
Sagittarius	κβ	ρϟε	ϛ	ιε	ν	22	195;6	15	50
Sagittarius	κγ	ρϟε	νζ	ιε	νβ[?]	23	195;57	15	52[?]
Sagittarius	κδ	ρϟϛ	μθ	ιε	νε	24	196;49	15	55
Sagittarius	κε	ρϟζ	μ	ιε	νη	25	197;40	15	58
Sagittarius	κϛ	ρϟη	λβ	ιϛ	α	26	198;32	16	1
Sagittarius	κζ	ρϟθ	κγ	ιϛ	γ[?]	27	199;23	16	3[?]
Sagittarius	κη	σ	ιε	ιϛ	ϛ	28	200;15	16	6
Sagittarius	κθ	σα	ζ	ιϛ	θ	29	201;7	16	9
Sagittarius	λ	σα	νθ	ιϛ	ιβ	30	201;59	16	12
